"text","created"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @atscommunity: Exposure to tobacco smoke is the number one reason people develop #lungCancer, but other causes include air pollution, ra…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @LivingSafely: Quitting in August? The #CDC says quitting #smoking lowers the risk of Lung #Cancer, Heart Attack and #Stroke.","2019-07-28"
"RT @FitFeminists: ""It’s not a miracle, and it’s not a secret, but the link between fitness levels and the risk of lung and colorectal cance…","2019-07-28"
"RT @eLife: Tobacco-induced lung adenocarcinoma – the deadliest form of lung cancer – likely starts in the lining of the airways before movi…","2019-07-28"
"RT @Mangan150: Omega-3 fatty acid DHA kills human lung cancer cells, at 60 μM. According to my calculations, that level can be easily achie…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"@communisthug @MacrocosmX I tried cigarettes once, I see the appeal but why if I can just smoke some cigarillos and… https://t.co/ZZnUsJCch8","2019-07-28"
"Omega-3 fatty acid DHA kills human lung cancer cells, at 60 μM. According to my calculations, that level can be eas… https://t.co/Mg4jZbibsi","2019-07-28"
"RT @bIackgirIs: My dad’s dad died at the age of 49 due to lung cancer. My dad has been very afraid he wouldn’t live past that age but today…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"AOCs father had lung cancer... https://t.co/epnKtWt4PX","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"@abundant_more A prayer that shows objective results. Cure all lung cancer. Stop all war. Provide clean drinking wa… https://t.co/XfQAGRK5WO","2019-07-28"
"Makeup Look I did for my mom and dad last week. I lost my dad to lung cancer when I was 10 and my mom was diagnosed… https://t.co/qgI7qww60S","2019-07-28"
"@MSNBC Well hopefully you’ll develope lung cancer then.","2019-07-29"
"@freshempire Not getting lung cancer","2019-07-29"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-29"
"RT @Mangan150: Omega-3 fatty acid DHA kills human lung cancer cells, at 60 μM. According to my calculations, that level can be easily achie…","2019-07-29"
"RT @PaulCobler: Texas Rep. Ron Wright still running for reelection despite lung cancer diagnosis https://t.co/kzC5hIuuZD","2019-07-29"
"My mother &amp; I were very close. When she was diagnosed w/small cell stage 4 lung cancer we knew she didn’t have long… https://t.co/qXsCuoGlJe","2019-07-29"
"RT @ColinAllredTX: Heartbroken to hear that my North Texas colleague Rep. Ron Wright is battling lung cancer. Your optimism and dedication…","2019-07-29"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-29"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-29"
